time,hour_of_day,energy_kWh
1,1,0.631412427485366
2,2,0.833388501459509
3,3,0.486247348255599
4,4,0.846024953172144
5,5,0.821654271872619
6,6,0.669231170369473
7,7,0.746418545656152
8,8,0.794070067789197
9,9,1.06997172832854
10,10,0.926943702988488
11,11,0.442657019515104
12,12,0.803492346633185
13,13,0.494894708963854
14,14,0.343694512681034
15,15,0.359342256026645
16,16,0.219695773034691
17,17,0.197807817291648
18,18,1.04896976077855
19,19,1.05112570109333
20,20,1.08191162020763
21,21,1.05501767900484
22,22,0.929251307731496
23,23,0.494078151602127
24,0,0.663023528916473
25,1,0.626535090561935
26,2,0.753469300991786
27,3,0.784820547694288
28,4,0.72946352865673
29,5,0.819164894596386
30,6,0.721271719624136
31,7,0.878617311062485
32,8,0.645100610438417
33,9,0.605244988539161
34,10,0.569050130557512
35,11,0.283217297331267
36,12,0.64383802928151
37,13,0.454873340414864
38,14,0.27450716808303
39,15,0.424897819653559
40,16,0.0690407369792987
41,17,0.19999800750473
42,18,0.875855295839264
43,19,0.94214292602983
44,20,0.971478238528411
45,21,0.90137997391159
46,22,1.04699487038037
47,23,0.40586638454834
48,0,0.562770728752873
49,1,0.686972280434705
50,2,0.76092732976144
51,3,0.625766752157093
52,4,0.767543530248374
53,5,0.66836604352518
54,6,0.688649925851324
55,7,0.789092815076386
56,8,0.913070651963807
57,9,0.635165442980596
58,10,0.687137881276006
59,11,0.555087273303631
60,12,0.611735613881447
61,13,0.31344785696402
62,14,0.353255746416497
63,15,0.343120667755258
64,16,0.350253400652755
65,17,0.364643441663675
66,18,0.908593113317542
67,19,0.761063221049519
68,20,0.865962195138683
69,21,0.881709792312037
70,22,1.2850457224002
71,23,0.360794098322554
72,0,0.574807678370398
73,1,0.55840386247193
74,2,0.738861042542072
75,3,0.635647110699177
76,4,0.619580724201456
77,5,0.647540155377571
78,6,0.848819390985994
79,7,0.772040232224838
80,8,0.740202272354598
81,9,0.854063049420219
82,10,0.679158437398418
83,11,0.597426818877192
